sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.05;Catu;01697923.0001-07;ACAI AGROPECUARIA E SERVICOS LTDA;RUA DOS JASMINS , 235 - CASA TERREO - PLANATO II;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.05;Catu;00180099.0001-50;STILLO REFRIGERACAO E SERVICOS;RUA BELA FLOR , 37 - CASA TERREO - PIONEIRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.05;Barreiras;10212898.0001-15;TALENTO SERVICOS E TERCEIRIZACAO LTDA;RUA PRINCESA ISABEL , S / N - 1 8 - 8;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.05;LuÃs Eduardo;05018299.0001-25;MAGNUM COMERCIO E MANUTEN ß√O EM MAQUINAS;AV . LUIS EDUARDO MAGALHAES , 2241 - JARDIM DAS ACACIAS;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;34366021.0001-47;ALLPARTS SERV E COM DE PE«AS MAQUINAS E;RUA DO OURO , 09 - QD VI , LT 09 - NOVO HORIZONTE;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;16066888.0001-03;EMPRESA DE TRANSPORTES E LOGÕSTICA PARAN;VIA PARAFUSO , 01 - KM 13 E 14 - INDUSTRIAL URBANO;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;04042292.0001-86;EXEL LOGISTICS DO NORDESTE LTDA;AV . HENRY FORD , 2000 - COMPL IND FORD - POLO PETROQUIMICO;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;01708033.0001-53;GM SERVI«OS INDUSTRIAIS LTDA;RUA DO COBRE , S / N - LOTE 03 QD . VII - POLO DE APOIO;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;33871815.0001-03;GROU VIAGENS E TURISMO LTDA;ESTRADA ITACIMIRIM , 228 - CENTRO;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;05222254.0001-78;IMA DO NORDESTE LTDA;AV INDUSTRIAL URBANA , S / N - S / N - SETOR INDUSTRIAL URBANA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;14671671.0001-99;LIMPEC LIMPEZA PUBLICA DE CAMACARI;LOTEAMENTO ESPACO ALPHA , S / N - SEDE - LIMOEIRO;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;06088039.0001-99;MARDONIO CARVALHO PEDROSA REFEI«¥ ES COLETIVA;AV . RADIAL B , 88 - MANGUEIRAL;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;02565187.0001-04;MATERIAL CONTROLS LTDA;EST DO COCO KM 13 , CAIXA POSTAL 232 , S / N - BURIS DE ABRANTES;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;06220788.0001-28;RECICLE RECICLAGEM INDUSTRIAL LTDA;RUA CRISTO REDENTOR , 20 - B GRAVATA - GLEBA A;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;14693949.0001-29;SALVATUR-SALVADOR TURISMO;AVENIDA COMERCIAL , 350 - CENTRO EMP MAW - CENTRO;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;04608967.0001-01;UNIFORME LAVANDERIA E LOCA ß√O LTDA;RUA B 4 POLOPLAST , S / N - QUADRA E , LOTE 1 - JARDIM LIMOEIRO;2011
BA;BAHIA;29.05701.00;Cama«ari;29.10057.05;Dias d vila;13193818.0001-10;JJ INSPE«¥ ES T…CNICAS EM EQUIPAMENTOS;RODOVIA BAHIA 093 KM 22 . 5 , 1715 - DIAS D VILA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.10057.05;Dias d vila;01714713.0001-80;MOPPCLEAN SERVICOS DE LIMPEZA LTDA;R PADRE CAMILO TORREND , 84 - CASA - CENTRO DIAS DAVILA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.21005.05;Mata de S¡o;07835210.0001-49;PFO VIAGENS E TURISMO LTDA EPP;CJ VILA NOVA DA PRAIA , S / N - EMPREEN COSTA S - SAUIPE;2011
BA;BAHIA;29.05701.00;Cama«ari;29.21005.05;Mata de S¡o;13250998.0001-24;POJUCA S / A;AVENIDA DO FAROL , S / N - AP”S A PONTE - PRAIA DO FORTE;2011
BA;BAHIA;29.05701.00;Cama«ari;29.21005.05;Mata de S¡o;00866577.0001-80;SAUIPE S / A;RODOVIA BA 099 KM 74 LINHA VERDE , S / N - COMP . HOTELEIRO - SAUIPE;2011
BA;BAHIA;29.10727.00;Eun¿polis;29.10727.05;Eun¿polis;04602367.0001-36;BONELLA FLORESTAL LTDA;AVENIDA DAVID JONAS FADINI , 1850 - JUCA ROSA;2011
BA;BAHIA;29.10727.00;Eun¿polis;29.10727.05;Eun¿polis;07869519.0001-50;MARCELO CARLETTO TOZETTI;AV . CONSELHEIRO LUIZ VIANA , 318 - CENTRO;2011
BA;BAHIA;29.10727.00;Eun¿polis;29.10727.05;Eun¿polis;06997495.0001-51;SUL MATERIAL CONTROLS SERVICOS;AV CONSELHEIRO LUIZ VIANA , 201 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.05;Concei«¡o do;08991558.0001-98;MONDIAL SERVICE ASSIST NCIA T…CNICA LTDA;TRAVESSA DA VOLTA , 155 - GALP√O 3 FUNDOS - COLONIA BRASILIA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.05;Concei«¡o do;01257728.0001-66;SM ASSESSORIA EMPRESARIAL E GEST√O;RUA 15 DE NOVEMBRO , 04 - CASA - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08394586.0001-28;BRASILTRAC ASSIST TEC AUT E REP LTDA;ROD . BR . 324 , S / N - CIS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;14078166.0001-35;EMPRESAS DE TRANSPORTES SANTANA E SAO PAULO;RUA SENADOR QUINTINO , 574 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08422888.0001-62;ORLEDE CONSULTORIA E SERVI«OS CONTABEIS LTDA;AVENIDA GETULIO VARGAS , 2331 - CAPUCHINHOS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;05543417.0001-14;RECICLOS RECICLAGEM DE SUCATAS PLASTICAS;ESTRADA VELHA DO AVIARIO , 850 - TERREO - AVIARIO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;34060681.0001-03;SERMAP ENGENHARIA LTDA;RUA PROFESSOR LEONIDIO ROCHA , 437 - CASA - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;03832412.0001-86;SERVITEK FK COMERCIO E SERVI«OS GERAIS LTDA;AV . MARIA QUITERIA , 2902 - QUEIMADINHA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;07598507.0001-38;VIA ß√O PRINCESINHA DO SERT√O LTDA;RUA JOS… BONIF CIO , 582 - PONTO CENTRAL;2011
BA;BAHIA;29.13606.00;Ilh»us;29.13606.05;Ilh»us;01005845.0001-32;TACOM PROJETOS DE BILHETAGEM INTELIGENTE;AV BRIGADEIRO EDURADO GOMES , 70 - TERREO - PONTAL;2011
BA;BAHIA;29.13606.00;Ilh»us;29.15502.05;ItajuÃpe;00171169.0001-04;SODRE TRANSPORTE DE MALOTES LTDA;RUA JOA EVANGELISTA , 75 - TERREO - CENTRO;2011
BA;BAHIA;29.13606.00;Ilh»us;29.32507.05;Una;13432810.0001-69;TRANSAMERICA DE HOT…IS- NORDESTE;ILHA DE COMANDATUBA , S / N - ILHA DE COMANDATUBA;2011
BA;BAHIA;29.14604.00;Irec ;29.14604.05;Irec ;03454513.0001-60;HOLISTICA PROVEDOR INTERNET LTDA;RUA HERCULANO DOURADO , 68 - TERREO - CENTRO;2011
BA;BAHIA;29.14604.00;Irec ;29.14604.05;Irec ;09534409.0001-62;TRANSCOOB COOP MISTA DOS PROFIS DE TRANSP E;AV CORONEL TERENCIO DOURADO , 108 - 1 ANDAR - CENTRO;2011
BA;BAHIA;29.14802.00;Itabuna;29.14802.05;Itabuna;05014249.0001-70;GIRO SERVI«OS TERCEIRIZADOS LTDA;RUA 11 DE DEZEMBRO , 78 - SUBSOLO - SANTO ANTONIO;2011
BA;BAHIA;29.14802.00;Itabuna;29.14802.05;Itabuna;08708090.0001-81;MARCONY CARLETTO TOZETTI;TV . FERNANDO GOMES DE OLIVEIRA , 82 - QUADRA D , L . 12 - SANTO ANTONIO;2011
BA;BAHIA;29.14802.00;Itabuna;29.14802.05;Itabuna;05807703.0001-40;PAUMA ADMINISTRA«AO E SERVI«OS LTDA .;AV . ANTONIO CARLOS MAGALH√ES , S / N - TERMINAL RODOVI - CENTRO;2011
BA;BAHIA;29.14802.00;Itabuna;29.14802.05;Itabuna;14492342.0001-80;ROTA TRANSPORTES RODOVI RIOS LTDA .;AVENIDA AMELIA AMADO , 560 - GARAGEM - CENTRO;2011
BA;BAHIA;29.18001.00;Jequi»;29.18001.05;Jequi»;14602189.0001-05;VIA ß√O JEQUIE CIDADE SOL LTDA;AV . OTAVIO MANGABEIRA , S / N - S / N - MANDACARU;2011
